mdi_i,year,month,day,hour,minute,second,intf_n,intfc_n,unsflux_n,unsfluxc_n,sflux_n,sfluxc_n,posfluxc_n,negfluxc_n,vnpc_pxn,visarea_n,max_pxflux_n,max_pxf_n,max_pxfc_n,n_swt,intf_s,intfc_s,unsflux_s,unsfluxc_s,sflux_s,sfluxc_s,posfluxc_s,negfluxc_s,vnpc_pxs,visarea_s,max_pxflux_s,max_pxf_s,max_pxfc_s,s_swt
2204,1976,1,13,17,26,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-1.70169,-1.70169,7.82E+21,9.21E+21,-2.05E+21,-2.66E+21,3.27E+21,-5.94E+21,68154,1.20E+21,3.40E+18,119.885,119.885,0
2205,1976,1,14,16,54,18,1.20271,1.20271,2.76E+21,1.29E+21,4.81E+20,3.32E+20,8.11E+20,-4.79E+20,21059,4.41E+20,3.19E+18,67.3425,67.3425,0,-1.85348,-1.85348,6.02E+21,7.98E+21,-1.87E+21,-2.60E+21,2.69E+21,-5.29E+21,61765,1.03E+21,2.29E+18,36.0831,36.0831,0
2206,1976,1,15,17,4,59,2083.18,2083.18,2.26E+22,2.33E+20,2.01E+22,2.10E+19,1.27E+20,-1.06E+20,43090,2.73E+20,1.40E+18,3346.08,3346.08,0,1027.69,1027.69,1.04E+22,7.76E+21,-1.50E+20,-2.51E+21,2.62E+21,-5.14E+21,85804,8.21E+20,2.15E+18,3344.44,3344.44,0
2207,1976,1,16,16,20,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-1.55131,-1.55131,8.18E+21,9.61E+21,-1.58E+21,-2.96E+21,3.32E+21,-6.29E+21,71032,1.26E+21,2.80E+18,90.5131,90.5131,0
2208,1976,1,17,17,3,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-1.91806,-1.91806,7.38E+21,9.79E+21,-1.99E+21,-3.00E+21,3.39E+21,-6.39E+21,69955,1.19E+21,3.21E+18,62.2949,62.2949,0
2215,1976,1,24,17,20,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2216,1976,1,25,16,43,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2217,1976,1,26,20,58,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-1.7541,-1.7541,6.36E+21,8.65E+21,-1.80E+21,-3.61E+21,2.52E+21,-6.13E+21,74634,1.21E+21,3.42E+18,113.166,113.166,0
2218,1976,1,27,17,7,20,0.976231,0.976231,4.03E+21,1.77E+21,6.35E+20,7.27E+20,1.25E+21,-5.23E+20,24836,7.09E+20,2.66E+18,62.3335,62.3335,0,-2.4193,-2.4193,8.52E+21,1.09E+22,-3.53E+21,-5.25E+21,2.83E+21,-8.08E+21,76795,1.50E+21,3.13E+18,107.566,107.566,0
2219,1976,1,28,17,34,44,0.907046,0.907046,2.61E+21,2.57E+20,3.30E+20,1.71E+19,1.37E+20,-1.20E+20,16796,3.53E+20,1.35E+18,62.7556,62.7556,0,-2.70384,-2.70384,7.69E+21,9.43E+21,-2.75E+21,-3.78E+21,2.82E+21,-6.60E+21,70748,1.10E+21,3.50E+18,146.048,146.048,0
